stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.041700600006151944,,0.02741129999049008,0.041700600006151944,0.5255432999983896,0.5255432999983896,0.5435074999986682,0.8246091000037268,2.277968399983365,left,-10.0,0,0,1.6700486000045203,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
1,2,12.0,2.2899028999963775,,2.2780640999844763,2.2899028999963775,2.791194799996447,2.791194799996447,2.791194799996447,,2.908523999998579,left,-12.0,0,0,0.10332120000384748,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
2,1,14.0,2.9242305000079796,,2.908595199987758,2.9242305000079796,3.4095922999840695,3.4095922999840695,3.4246194000006653,,3.558658900001319,left,-14.0,1,1,0.14503389998571947,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
3,1,13.0,3.5742456000007223,,3.5587291999836452,3.5742456000007223,4.05763530000695,4.05763530000695,4.074356800003443,4.357581099990057,4.375770199985709,right,13.0,0,0,0.3081532000214793,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
4,1,14.0,4.391100899985759,,4.375842099980218,4.391100899985759,4.890408499981277,4.890408499981277,4.890408499981277,,5.158544400008395,right,14.0,1,1,0.26041399998939596,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
5,1,14.0,5.173751299997093,,5.1586287999816705,5.173751299997093,5.674101699987659,5.674101699987659,5.674101699987659,,5.69187989999773,right,14.0,1,1,0.010055500024463981,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
6,0.5,14.0,5.707176099997014,,5.691949800006114,5.707176099997014,6.192551499989349,6.192551499989349,6.209130700008245,,6.2919559000001755,left,-14.0,1,1,0.0831692999927327,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
7,0.5,13.5,6.307325999980094,,6.292028299998492,6.307325999980094,6.807402400008868,6.807402400008868,6.807402400008868,,6.975591800000984,left,-13.5,0,0,0.16499600000679493,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
8,0.5,14.0,6.990480299980845,,6.9757286999956705,6.990480299980845,7.491817200003425,7.491817200003425,7.491817200003425,,7.608514199993806,right,14.0,0,0,0.11371199999121018,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
9,0.5,14.5,7.623740699986229,,7.608604399982141,7.623740699986229,8.108176499983529,8.108176499983529,8.1254907999828,,8.228780300007202,left,-14.5,1,1,0.11193300000741147,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
10,0.5,14.5,8.241860399983125,,8.228966900001979,8.241860399983125,8.740385499986587,8.740385499986587,8.756813099986175,,8.841399099997943,right,14.5,0,0,None,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
11,0.5,15.0,8.856805099989288,,8.84150049998425,8.856805099989288,9.357083399983821,9.357083399983821,9.357083399983821,,9.3917739999888,left,-15.0,0,0,0.018611400009831414,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
12,0.5,15.5,9.406927500007441,,9.391884699987713,9.406927500007441,9.90792140000849,9.90792140000849,9.90792140000849,10.207985799992457,20.58985620000749,right,15.5,0,0,10.678907800000161,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
13,0.5,16.0,20.6053768999991,,20.589962199999718,20.6053768999991,21.088646499993047,21.088646499993047,21.105723299988313,,21.206268299982185,right,16.0,0,0,0.11033860000316054,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
14,0.5,16.5,21.221963599993614,,21.20633699998143,21.221963599993614,21.705302999995183,21.705302999995183,21.722165799990762,,21.822987899999134,left,-16.5,1,1,0.10128419997636229,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
15,0.5,16.5,21.83848420000868,,21.82305340000312,21.83848420000868,22.322410599997966,22.322410599997966,22.339187599980505,,22.340291200001957,right,16.5,0,0,0.004173099994659424,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
16,0.5,17.0,22.3551768999896,,22.340388999989955,22.3551768999896,22.85492099999101,22.85492099999101,22.85492099999101,,22.889914400002453,right,17.0,0,0,0.03380319999996573,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
17,0.5,17.5,22.905098699993687,,22.890012499992736,22.905098699993687,23.40524279998499,23.40524279998499,23.40524279998499,,23.506239499984076,right,17.5,0,0,None,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
18,0.5,18.0,23.521506499993848,,23.50634039999568,23.521506499993848,24.005924800003413,24.005924800003413,24.022755499987397,,24.25906759998179,right,18.0,1,1,0.23587589999078773,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
19,0.5,18.0,24.27231080000638,,24.2592253999901,24.27231080000638,24.77149189999909,24.77149189999909,24.77149189999909,,24.839229000004707,right,18.0,1,1,0.056040900002699345,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
20,0.5,18.0,24.8549204999872,,24.839297600003192,24.8549204999872,25.33897270000307,25.33897270000307,25.355440299987094,,25.35678299999563,left,-18.0,0,0,0.008535000000847504,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
21,0.5,18.5,25.37191509999684,,25.35689419999835,25.37191509999684,25.872762199986028,25.872762199986028,25.872762199986028,,26.12502539998968,left,-18.5,0,0,0.24972880000132136,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
22,0.5,19.0,26.13892259998829,,26.125145600002725,26.13892259998829,26.63858159998199,26.63858159998199,26.63858159998199,,26.8231545999879,left,-19.0,0,0,0.16786799998953938,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
23,0.5,19.5,26.838811099994928,,26.823283000005176,26.838811099994928,27.323289699997986,27.323289699997986,27.339823999995133,27.63852360000601,28.158064899995225,left,-19.5,0,0,0.8288151000160724,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
24,0.5,20.0,28.171589000005042,,28.158226500003366,28.171589000005042,28.67218920000596,28.67218920000596,28.67218920000596,,28.756792300002417,left,-20.0,1,1,0.0682641000021249,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
25,0.5,20.0,28.77176619999227,,28.75689719998627,28.77176619999227,29.271626100002322,29.271626100002322,29.271626100002322,,29.29083690000698,right,20.0,1,1,0.013199299981351942,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
26,0.5,20.0,29.304952200007392,,29.290968799992697,29.304952200007392,29.804598399990937,29.804598399990937,29.804598399990937,30.105242399993585,30.322795299987774,left,-20.0,0,0,0.5013448999961838,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
27,0.5,20.0,30.33790489999228,,30.32294039998669,30.33790489999228,30.838304300006712,30.838304300006712,30.838304300006712,,31.104625699983444,left,-20.0,0,0,0.25675710002542473,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
28,0.5,20.0,31.12101370000164,,31.104695599991828,31.12101370000164,31.603964599984465,31.603964599984465,31.62099820000003,,31.80591959998128,left,-20.0,0,0,0.19470830002683215,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
29,0.5,20.0,31.821049699996365,,31.806028799997875,31.821049699996365,32.30447239999194,32.30447239999194,32.321372000005795,,32.405357999989064,left,-20.0,0,0,0.09167840000009164,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
30,0.5,20.0,32.421272899984615,,32.405428400001256,32.421272899984615,32.90460370000801,32.90460370000801,32.92127610000898,,33.0887584000011,right,20.0,1,1,0.18307470000581816,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
31,0.5,20.0,33.103977899998426,,33.088841999997385,33.103977899998426,33.58806579999509,33.58806579999509,33.60503599999356,33.88772100000642,33.87259339998127,right,20.0,1,1,0.2722807000100147,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
32,0.5,20.0,33.88772100000642,,33.87270010000793,33.88772100000642,34.38844429998426,34.38844429998426,34.38844429998426,,34.57256080000661,right,20.0,1,1,0.17040370000177063,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
33,0.5,19.5,34.58768979998422,,34.57267460000003,34.58768979998422,35.08778199998778,35.08778199998778,35.08778199998778,,35.290887899987865,left,-19.5,0,0,0.1978786000108812,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
34,0.5,20.0,35.30442309999489,,35.29104109999025,35.30442309999489,35.80499050000799,35.80499050000799,35.80499050000799,36.104959899996174,36.14013149999664,left,-20.0,0,0,0.3256029000040144,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
35,0.5,20.0,36.15542209998239,,36.1402839999937,36.15542209998239,36.654179300006945,36.654179300006945,36.6712789000012,,36.92214939999394,left,-20.0,0,0,0.25566539997817017,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
36,0.5,20.0,36.93750599998748,,36.92229809999117,36.93750599998748,37.419862999988254,37.419862999988254,37.43678029999137,,37.605150399991544,left,-20.0,0,0,0.1711563999997452,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
37,0.5,20.0,37.62006190000102,,37.60526340000797,37.62006190000102,38.10398709998117,38.10398709998117,38.120783599995775,,38.308093800005736,left,-20.0,0,0,0.19381599998450838,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
38,0.5,20.0,38.3215429999982,,38.30826319998596,38.3215429999982,38.819888099998934,38.819888099998934,38.83645619999152,,38.987183299992466,left,-20.0,0,0,0.15193920000456274,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
39,0.5,20.0,39.00355540000601,,38.98724689998198,39.00355540000601,39.4872003000055,39.4872003000055,39.50337399999262,,39.755768500006525,left,-20.0,0,0,0.2648228000034578,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
40,0.5,20.0,39.76991149998503,,39.75589490000857,39.76991149998503,40.269758499984164,40.269758499984164,40.269758499984164,40.56932710000547,41.32131010000012,left,-20.0,1,1,1.035671799996635,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
41,0.5,20.0,41.33651299998746,,41.32139860000461,41.33651299998746,41.83669649998774,41.83669649998774,41.83669649998774,42.13702329999069,42.43677309999475,right,20.0,1,1,0.5947549000266008,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
42,0.5,20.0,42.4528522999899,,42.43684119998943,42.4528522999899,42.936941599997226,42.936941599997226,42.95392259999062,,42.956251199997496,left,-20.0,1,1,0.016922400012845173,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
43,0.5,19.5,42.96977989998413,,42.956381600000896,42.96977989998413,43.47067009998136,43.47067009998136,43.47067009998136,,43.603818400006276,right,19.5,1,1,0.1287618999776896,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
44,0.5,19.5,43.619845999986865,,43.60389969998505,43.619845999986865,44.103098699997645,44.103098699997645,44.11979249998694,44.40392949999659,45.12089930000366,left,-19.5,1,1,1.007745100010652,405782,001,2024-09-12_22h52.47.733,Adaptive  staircase_ZiyaRaval_Final,2024.1.5,None,2024-09-12 22h52.52.784998 +0530,
